arm,stage,workload,concurrency,rate,repetition,cell_index,measurement_version,attempted,artifact_gate_pass,conservation_pass,unavailable_reason,http_success_rps,attempted_rps,completed_rps,completed_jobs_per_second,send_p50_ms,send_p95_ms,send_p99_ms,scheduled_p99_ms,samples,attempts,errors,error_pct,timeouts,drain_completed_requests,drain_budget_exceeded,stopped_transport_failures,generator_capacity_flag,scheduled_count,scheduler_misses,scheduler_lag_p99_ms,drops,idle_claims,duplicates,lost_acknowledgements,server_cpu_seconds,server_peak_rss_mib,generator_cpu_seconds,generator_peak_rss_mib,db_bytes,wal_bytes,db_bytes_at_measure_end,wal_bytes_at_measure_end,load_average_1m,measurement_valid,observable_load_checks_pass,frozen_artifact_and_load_gates_pass
vanilla,2,read,1,0,0,0,2,True,False,True,,8018.5,8018.625,8018.5,0,0.115,0.18,0.245,0.245,64149,64149,0,0.0,0,1,False,False,False,,0,0,0,0,0,0,11.494921,27.0,8.2197,141.84375,49750016,0,49750016,4152,3.13671875,True,True,False
v1.4.0,2,read,1,0,0,1,2,True,False,True,,8291.25,8291.375,8291.25,0,0.11,0.17,0.229,0.229,66331,66331,0,0.0,0,1,False,False,False,,0,0,0,0,0,0,10.074618000000001,31.46875,8.466718,132.96875,45228032,0,45228032,1520312,3.435546875,True,True,False
v1.5.0-rc,2,read,1,0,0,2,2,True,False,True,,7889,7889.125,7889,0,0.116,0.181,0.247,0.247,63113,63113,0,0.0,0,1,False,False,False,,0,0,0,0,0,0,11.042491,27.203125,8.319065,132.09375,47161344,0,47161344,0,4.0703125,True,True,False
v1.4.0,2,read,16,0,0,3,2,True,False,True,,18221.625,18223.625,18221.625,0,0.659,2.258,3.422,3.422,145789,145789,0,0.0,0,16,False,False,False,,0,0,0,0,0,0,20.100704999999998,33.390625,15.040959,262.765625,45228032,0,45228032,1520312,4.2802734375,True,True,False
v1.5.0-rc,2,read,16,0,0,4,2,True,False,True,,16613.875,16615.875,16613.875,0,0.719,2.517,3.788,3.788,132927,132927,0,0.0,0,16,False,False,False,,0,0,0,0,0,0,22.077576999999998,29.09375,14.58256,250.15625,47161344,0,47161344,0,4.40185546875,True,True,False
vanilla,2,read,16,0,0,5,2,True,False,True,,23116,23121.25,23119.25,0,0.584,1.473,2.062,2.062,184970,184970,26,0.014056333459479915,0,16,False,False,False,,0,0.001,0,0,0,0,37.437262000000004,30.0,17.321568,423.28125,49750016,0,49750016,0,5.095703125,True,False,False
v1.5.0-rc,2,read,64,0,0,6,2,True,False,True,,16597,16605,16597,0,2.712,11.2,17.146,17.146,132840,132840,0,0.0,0,64,False,False,False,,0,0,0,0,0,0,22.085928,31.484375,14.709551,252.671875,47161344,0,47161344,0,5.701171875,True,True,False
vanilla,2,read,64,0,0,7,2,True,False,True,,30911.25,30919.25,30911.25,0,1.745,4.469,6.605,6.605,247354,247354,0,0.0,0,64,False,False,False,,0,0.001,0,0,0,0,36.690999,63.65625,20.657057000000002,490.171875,49750016,0,49750016,4152,6.060546875,True,True,False
v1.4.0,2,read,64,0,0,8,2,True,False,True,,18219,18227,18219,0,2.469,10.197,15.79,15.79,145816,145816,0,0.0,0,64,False,False,False,,0,0,0,0,0,0,19.932921,36.125,15.130068000000001,252.515625,45228032,0,45228032,1520312,6.18896484375,True,True,False
vanilla,2,lifecycle,1,0,0,9,2,True,False,True,,506.25,506.375,506.25,253.125,1.282,3.963,4.118,4.118,4052,4052,0,0.0,0,2,False,False,False,,0,0.001,0,0,0,0,11.113705999999999,28.203125,0.560784,40.015625,50110464,0,50098176,4144752,5.94970703125,True,True,False
v1.4.0,2,lifecycle,1,0,0,10,2,True,False,True,,4214.875,4215,4214.875,2107.375,0.222,0.323,0.44,0.44,33720,33720,0,0.0,0,1,False,False,False,,0,0.001,0,0,0,0,11.785583,32.296875,4.459735,94.3125,48181248,0,48168960,4148872,5.65625,True,True,False
v1.5.0-rc,2,lifecycle,1,0,0,11,2,True,False,True,,3707,3707.125,3707,1853.5,0.254,0.366,0.526,0.526,29658,29658,0,0.0,0,2,False,False,False,,0,0.001,0,0,0,0,13.124068999999999,28.984375,4.1095500000000005,87.9375,49844224,0,49831936,4148872,5.3212890625,True,True,False
v1.4.0,2,lifecycle,16,0,0,12,2,True,False,True,,5419.125,5421.125,5419.125,2709.125,2.512,6.584,9.146,9.147,43378,43378,0,0.0,0,25,False,False,False,,0,0.001,0,0,0,0,16.14457,33.09375,6.011686,141.6875,49045504,0,49033216,4148872,4.94189453125,True,True,False
v1.5.0-rc,2,lifecycle,16,0,0,13,2,True,False,True,,4396,4398,4396,2197.5,2.613,10.346,15.983,15.983,35192,35192,0,0.0,0,24,False,False,False,,0,0.001,0,0,0,0,17.138701,29.921875,6.214009,95.21875,50376704,0,50372608,4157112,5.02392578125,True,True,False
vanilla,2,lifecycle,16,0,0,14,2,True,False,True,,106.5,23467,23465,0.25,0.486,1.63,2.897,2.897,187737,187737,186883,99.54510831642138,0,17,False,False,False,,0,0.01,0,0,0,1175,39.333079,32.609375,14.793551,432.328125,49909760,0,49897472,5541432,5.72119140625,True,False,False
v1.5.0-rc,2,lifecycle,64,0,0,15,2,True,False,True,,4268.875,4276.875,4268.875,2132.375,10.365,44.051,69.014,69.014,34246,34246,0,0.0,0,95,False,False,False,,0,0.001,0,0,0,0,16.974289,32.21875,6.158323,99.21875,50266112,0,50257920,4165352,6.3037109375,True,True,False
vanilla,2,lifecycle,64,0,0,16,2,True,False,True,,99.5,36630.875,36623.5,0,1.417,3.878,5.896,5.896,293049,293049,292249,99.72700811127149,0,61,False,False,False,,0,0.003,0,0,0,1101,38.423333,35.3125,18.825301,552.921875,49905664,0,49905664,5269512,6.109375,True,False,False
v1.4.0,2,lifecycle,64,0,0,17,2,True,False,True,,4594.375,4602.375,4594.375,2295,11.567,32.235,45.657,45.657,36848,36848,0,0.0,0,93,False,False,False,,0,0.001,0,0,0,0,15.802058,35.625,5.797384,98.1875,48418816,0,48406528,4157112,7.33251953125,True,True,False
vanilla,3,read,1,0,0,0,2,True,False,True,,7806.7,7806.8,7806.7,0,0.117,0.186,0.245,0.246,78068,78068,0,0.0,0,1,False,False,False,,0,0,0,0,0,0,13.428409,27.1875,9.71807,142.453125,49750016,0,49750016,4152,2.646484375,True,True,False
v1.4.0,3,read,1,0,0,1,2,True,False,True,,8318,8318.1,8318,0,0.111,0.169,0.225,0.226,83181,83181,0,0.0,0,1,False,False,False,,0,0,0,0,0,0,11.959185999999999,31.84375,10.020647,148.703125,45268992,0,45268992,1520312,4.75634765625,True,True,False
v1.5.0-rc,3,read,1,0,0,2,2,True,False,True,,8038.2,8038.2,8038.2,0,0.115,0.176,0.237,0.238,80382,80382,0,0.0,0,0,False,False,False,,0,0,0,0,0,0,13.226752000000001,27.5,9.804364,132.640625,47185920,0,47185920,0,4.93798828125,True,True,False
