arm,stage,workload,concurrency,rate,repetition,cell_index,measurement_version,attempted,artifact_gate_pass,conservation_pass,unavailable_reason,http_success_rps,attempted_rps,completed_rps,completed_jobs_per_second,send_p50_ms,send_p95_ms,send_p99_ms,scheduled_p99_ms,samples,attempts,errors,error_pct,timeouts,drain_completed_requests,drain_budget_exceeded,stopped_transport_failures,generator_capacity_flag,scheduled_count,scheduler_misses,scheduler_lag_p99_ms,drops,idle_claims,duplicates,lost_acknowledgements,server_cpu_seconds,server_peak_rss_mib,generator_cpu_seconds,generator_peak_rss_mib,db_bytes,wal_bytes,db_bytes_at_measure_end,wal_bytes_at_measure_end,load_average_1m,measurement_valid,observable_load_checks_pass,frozen_artifact_and_load_gates_pass
vanilla,2,read,1,0,0,0,2,True,False,True,,5741.625,5741.75,5741.625,0,0.149,0.304,0.439,0.44,45934,45934,0,0.0,0,1,False,False,False,,0,0.001,0,0,0,0,11.481434,27.4375,7.965698,116.125,46108672,0,46108672,4152,4.86767578125,True,True,False
v1.4.0,2,read,1,0,0,1,2,True,False,True,,5120.75,5120.875,5120.75,0,0.162,0.361,0.499,0.5,40967,40967,0,0.0,0,1,False,False,False,,0,0.001,0,0,0,0,11.270334,27.0625,7.778675,117.046875,47050752,0,47050752,0,4.9677734375,True,True,False
v1.5.0-rc,2,read,1,0,0,2,2,True,False,True,,4618.875,4619,4618.875,0,0.184,0.387,0.538,0.538,36952,36952,0,0.0,0,1,False,False,False,,0,0.001,0,0,0,0,11.147644,29.65625,7.67723,76.96875,47919104,0,47919104,0,5.3662109375,True,True,False
v1.4.0,2,read,16,0,0,3,2,True,False,True,,11492.5,11494.5,11492.5,0,1.046,3.635,5.467,5.467,91956,91956,0,0.0,0,16,False,False,False,,0,0.002,0,0,0,0,21.307119,28.984375,13.849339,222.65625,47050752,0,47050752,0,5.7587890625,True,True,False
v1.5.0-rc,2,read,16,0,0,4,2,True,False,True,,10620.5,10622.5,10620.5,0,1.099,3.9,6.036,6.039,84980,84980,0,0.0,0,16,False,False,False,,0,0.002,0,0,0,0,19.988612,30.765625,13.278970000000001,216.890625,47919104,0,47919104,0,6.3173828125,True,True,False
vanilla,2,read,16,0,0,5,2,True,False,True,,11513.25,11515.25,11513.25,0,1.043,3.648,5.496,5.496,92122,92122,0,0.0,0,16,False,False,False,,0,0.002,0,0,0,0,21.266407,28.609375,13.977079,214.203125,46108672,0,46108672,4152,7.30810546875,True,True,False
v1.5.0-rc,2,read,64,0,0,6,2,True,False,True,,11094.5,11102.5,11094.5,0,4.069,16.775,25.802,25.803,88820,88820,0,0.0,0,64,False,False,False,,0,0.002,0,0,0,0,20.988615000000003,33.53125,13.988986,220.71875,47919104,0,47919104,0,7.4140625,True,True,False
vanilla,2,read,64,0,0,7,2,True,False,True,,12048.375,12056.375,12048.375,0,3.728,15.396,23.599,23.6,96451,96451,0,0.0,0,64,False,False,False,,0,0.001,0,0,0,0,21.489453,31.515625,14.398973999999999,218.765625,46108672,0,46108672,4152,7.291015625,True,True,False
v1.4.0,2,read,64,0,0,8,2,True,False,True,,12035.625,12043.625,12035.625,0,3.738,15.49,23.812,23.813,96349,96349,0,0.0,0,64,False,False,False,,0,0.001,0,0,0,0,21.487409,31.375,14.079847000000001,219.46875,47050752,0,47050752,0,7.3193359375,True,True,False
vanilla,2,lifecycle,1,0,0,9,2,True,False,True,,2287.125,2287.25,2287.125,1143.5,0.384,0.724,1.013,1.013,18298,18298,0,0.0,0,1,False,False,False,,0,0.002,0,0,0,0,13.617941,28.875,3.837706,62.25,47804416,0,47800320,4144752,7.05712890625,True,True,False
v1.4.0,2,lifecycle,1,0,0,10,2,True,False,True,,2128.75,2128.875,2128.75,1064.375,0.405,0.798,1.067,1.067,17032,17032,0,0.0,0,2,False,False,False,,0,0.002,0,0,0,0,13.274245,28.828125,3.795989,60.625,48541696,0,48541696,4140632,6.89404296875,True,True,False
v1.5.0-rc,2,lifecycle,1,0,0,11,2,True,False,True,,2368.125,2368.25,2368.125,1184,0.36,0.723,0.977,0.978,18946,18946,0,0.0,0,1,False,False,False,,0,0.002,0,0,0,0,13.176162,30.28125,4.128064,62.78125,49582080,0,49577984,4144752,6.7431640625,True,True,False
v1.4.0,2,lifecycle,16,0,0,12,2,True,False,True,,2956.5,2958.5,2956.5,1477.875,3.863,15.271,22.994,22.995,23678,23678,0,0.0,0,26,False,False,False,,0,0.003,0,0,0,0,17.062235,29.5625,6.022043,85.234375,49147904,0,49139712,4144752,6.818359375,True,True,False
v1.5.0-rc,2,lifecycle,16,0,0,13,2,True,False,True,,2856,2858,2856,1427.625,3.931,15.886,24.686,24.686,22874,22874,0,0.0,0,26,False,False,False,,0,0.003,0,0,0,0,16.374598,31.78125,6.135006,81.5625,49926144,0,49926144,4148872,6.53173828125,True,True,False
vanilla,2,lifecycle,16,0,0,14,2,True,False,True,,2666.875,2668.875,2666.875,1332.875,4.333,16.677,25.545,25.547,21358,21358,0,0.0,0,23,False,False,False,,0,0.003,0,0,0,0,16.818511,29.75,5.8271560000000004,85.015625,48033792,0,48025600,4144752,8.31689453125,True,True,False
v1.5.0-rc,2,lifecycle,64,0,0,15,2,True,False,True,,3057.375,3065.375,3057.375,1527,14.488,62.427,94.82,94.822,24560,24560,0,0.0,0,101,False,False,False,,0,0.003,0,0,0,0,17.259579000000002,35.421875,6.519486000000001,90.171875,50036736,0,50028544,4144752,7.44677734375,True,True,False
vanilla,2,lifecycle,64,0,0,16,2,True,False,True,,2904.125,2912.125,2904.125,1449.875,14.129,69.605,110.773,110.774,23326,23326,0,0.0,0,93,False,False,False,,0,0.003,0,0,0,0,16.967715,32.109375,5.859401,88.3125,48136192,0,48128000,4148872,8.02783203125,True,True,False
v1.4.0,2,lifecycle,64,0,0,17,2,True,False,True,,3598.875,3606.875,3598.875,1797,11.986,52.81,85.32,85.32,28880,28880,0,0.0,0,89,False,False,False,,0,0.001,0,0,0,0,16.278055000000002,32.625,5.555466,93.84375,49512448,0,49500160,4152992,8.0166015625,True,True,False
vanilla,3,read,1,0,0,0,2,True,True,True,,5915.8,5915.9,5915.8,0,0.151,0.242,0.31,0.31,59159,59159,0,0.0,0,1,False,False,False,,0,0,0,0,0,0,13.204266,27.3125,9.665837,124.0625,46129152,0,46129152,4152,9.361328125,True,True,True
v1.4.0,3,read,1,0,0,1,2,True,True,True,,4806.4,4806.5,4806.4,0,0.182,0.321,0.531,0.531,48065,48065,0,0.0,0,1,False,False,False,,0,0.001,0,0,0,0,12.481556000000001,26.953125,8.925293,111.96875,47017984,0,47017984,0,8.7705078125,True,True,True
v1.5.0-rc,3,read,1,0,0,2,2,True,False,True,,4205.3,4205.4,4205.3,0,0.212,0.368,0.676,0.676,42054,42054,0,0.0,0,1,False,False,False,,0,0.001,0,0,0,0,12.357469,29.515625,8.665534000000001,81.078125,47939584,0,47939584,0,8.3525390625,True,True,False
v1.4.0,3,read,16,0,0,3,2,True,True,True,,12235.5,12237.1,12235.5,0,1,3.341,5.03,5.031,122371,122371,0,0.0,0,16,False,False,False,,0,0.001,0,0,0,0,24.618991,29.03125,16.417192999999997,227.3125,47017984,0,47017984,0,8.2607421875,True,True,True
v1.5.0-rc,3,read,16,0,0,4,2,True,False,True,,12341.6,12343.2,12341.6,0,0.98,3.347,5.098,5.099,123432,123432,0,0.0,0,16,False,False,False,,0,0.001,0,0,0,0,24.154094,30.765625,16.216959,219.765625,47939584,0,47939584,0,10.28271484375,True,True,False
vanilla,3,read,16,0,0,5,2,True,True,True,,13806.4,13808,13806.4,0,0.86,2.997,4.707,4.707,138080,138080,0,0.0,0,16,False,False,False,,0,0.001,0,0,0,0,24.748483999999998,28.84375,16.514321,263.0625,46129152,0,46129152,4152,11.7412109375,True,True,True
v1.5.0-rc,3,read,64,0,0,6,2,True,False,True,,14767.6,14774,14767.6,0,2.998,12.517,19.677,19.677,147740,147740,0,0.0,0,64,False,False,False,,0,0,0,0,0,0,25.559994,33.625,17.052535,255.03125,47939584,0,47939584,0,11.6142578125,True,True,False
vanilla,3,read,64,0,0,7,2,True,True,True,,11356.9,11363.3,11356.9,0,3.848,16.643,26.615,26.616,113633,113633,0,0.0,0,64,False,False,False,,0,0.001,0,0,0,0,24.055847999999997,32.046875,16.036628,242.75,46129152,0,46129152,4152,11.37890625,True,True,True
