row_id,person_id,allowed_sessions,source_id
A001,P001,S2;S5,AVAIL-0924
A002,P002,S2;S5,AVAIL-0924
A003,P003,S2;S5,AVAIL-0924
A004,P004,S2;S5,AVAIL-0924
A005,P005,S2;S5;S1,AVAIL-0924
A006,P006,S2;S5,AVAIL-0924
A007,P007,S2;S5,AVAIL-0924
A008,P008,S2;S5,AVAIL-0924
A009,P009,S2;S5,AVAIL-0924
A010,P010,S2;S5;S1,AVAIL-0924
A011,P011,S2;S5,AVAIL-0924
A012,P012,S2;S5,AVAIL-0924
A013,P013,S2;S5,AVAIL-0924
A014,P014,S2;S5,AVAIL-0924
A015,P015,S2;S5;S1,AVAIL-0924
A016,P016,S3;S6,AVAIL-0924
A017,P017,S3;S6,AVAIL-0924
A018,P018,S3;S6,AVAIL-0924
A019,P019,S3;S6,AVAIL-0924
A020,P020,S3;S6;S1,AVAIL-0924
A021,P021,S3;S6,AVAIL-0924
A022,P022,S3;S6,AVAIL-0924
A023,P023,S3;S6,AVAIL-0924
A024,P024,S3;S6,AVAIL-0924
A025,P025,S3;S6;S1,AVAIL-0924
A026,P026,S3;S6,AVAIL-0924
A027,P027,S3;S6,AVAIL-0924
A028,P028,S3;S6,AVAIL-0924
A029,P029,S3;S6,AVAIL-0924
A030,P030,S3;S6;S1,AVAIL-0924
A031,P031,S2;S5,AVAIL-0924
A032,P032,S2;S5,AVAIL-0924
A033,P033,S2;S5,AVAIL-0924
A034,P034,S2;S5,AVAIL-0924
A035,P035,S2;S5;S1,AVAIL-0924
A036,P036,S2;S5,AVAIL-0924
A037,P037,S2;S5,AVAIL-0924
A038,P038,S2;S5,AVAIL-0924
A039,P039,S2;S5,AVAIL-0924
A040,P040,S2;S5;S1,AVAIL-0924
A041,P041,S2;S5,AVAIL-0924
A042,P042,S2;S5,AVAIL-0924
A043,P043,S2;S5,AVAIL-0924
A044,P044,S2;S5,AVAIL-0924
A045,P045,S2;S5;S1,AVAIL-0924
A046,P046,S3;S6,AVAIL-0924
A047,P047,S3;S6,AVAIL-0924
A048,P048,S3;S6,AVAIL-0924
A049,P049,S3;S6,AVAIL-0924
A050,P050,S3;S6;S1,AVAIL-0924
A051,P051,S3;S6,AVAIL-0924
A052,P052,S3;S6,AVAIL-0924
A053,P053,S3;S6,AVAIL-0924
A054,P054,S3;S6,AVAIL-0924
A055,P055,S3;S6;S1,AVAIL-0924
A056,P056,S3;S6,AVAIL-0924
A057,P057,S3;S6,AVAIL-0924
A058,P058,S3;S6,AVAIL-0924
A059,P059,S3;S6,AVAIL-0924
A060,P060,S3;S6;S1,AVAIL-0924
A061,P061,S2;S5,AVAIL-0924
A062,P062,S2;S5,AVAIL-0924
A063,P063,S2;S5,AVAIL-0924
A064,P064,S3;S6,AVAIL-0924
A065,P065,S3;S6;S1,AVAIL-0924
A066,P066,S3;S6,AVAIL-0924
A067,P067,S2;S5,AVAIL-0924
A068,P068,S2;S5,AVAIL-0924
A069,P069,S2;S5,AVAIL-0924
A070,P070,S3;S6;S1,AVAIL-0924
A071,P071,S3;S6,AVAIL-0924
A072,P072,S3;S6,AVAIL-0924
