row_id,person_id,field,value,approval,source_id
H01,P005,access_required,true,approved,HR-APPROVED-0926
H02,P010,tier,mandatory,approved,HR-APPROVED-0926
H03,P061,tier,optional,approved,HR-APPROVED-0926
H04,P072,active,true,approved,HR-APPROVED-0926
H05,P064,access_required,true,approved,HR-APPROVED-0926
H06,P020,allowed_sessions,S5,approved,HR-APPROVED-0926
H07,P025,allowed_sessions,S3,approved,HR-APPROVED-0926
H08,P045,allowed_sessions,S2;S5,approved,HR-APPROVED-0926
H09,P060,allowed_sessions,S6,approved,HR-APPROVED-0926
H10,P070,allowed_sessions,S3;S6,approved,HR-APPROVED-0926
H11,P063,tier,mandatory,pending,HR-PROPOSAL-0927
H12,P005,access_required,false,pending,HR-PROPOSAL-0927
