row_id,payment_id,invoice_id,revision,status,amount_krw,source_id
P-B01,PAY01,INV01,1,posted,5100,BANK-0925
P-B02,PAY02,INV02,1,posted,5200,BANK-0925
P-B03,PAY03,INV03,1,posted,5300,BANK-0925
P-B04,PAY04,INV04,1,posted,5400,BANK-0925
P-B05,PAY05,INV05,1,posted,5500,BANK-0925
P-B06,PAY06,INV06,1,posted,5600,BANK-0925
P-B07,PAY07,INV07,1,posted,5700,BANK-0925
P-B08,PAY08,INV08,1,posted,5800,BANK-0925
P-B09,PAY09,INV09,1,posted,5900,BANK-0925
P-B10,PAY10,INV10,1,posted,6000,BANK-0925
P-B11,PAY11,INV11,1,posted,6100,BANK-0925
P-B12,PAY12,INV12,1,posted,6200,BANK-0925
P-B13,PAY13,INV13,1,posted,6300,BANK-0925
P-B14,PAY14,INV14,1,posted,6400,BANK-0925
P-B15,PAY15,INV15,1,posted,6500,BANK-0925
P-B16,PAY16,INV16,1,posted,6600,BANK-0925
P-B17,PAY17,INV17,1,posted,6700,BANK-0925
P-B18,PAY18,INV18,1,posted,6800,BANK-0925
P-D01,PAY01,INV01,1,posted,5100,BANK-0925-REPEAT
P-D02,PAY02,INV02,1,posted,5200,BANK-0925-REPEAT
P-D03,PAY03,INV03,1,posted,5300,BANK-0925-REPEAT
P-D04,PAY04,INV04,1,posted,5400,BANK-0925-REPEAT
P-R16,PAY16,INV16,2,reversed,0,BANK-REVERSAL-0926
P-R17,PAY17,INV17,2,reversed,0,BANK-REVERSAL-0926
P-R18,PAY18,INV18,2,reversed,0,BANK-REVERSAL-0926
P-Z19,PAY19,INV19,1,posted,0,BANK-0925
P-Z20,PAY20,INV20,1,posted,0,BANK-0925
