invoice_id,gross_krw,credit_krw,paid_krw,balance_krw,invoice_row_id,credit_row_ids,payment_row_ids
INV01,12900,750,5100,7050,I-R01,C-R01,P-B01
INV02,13800,800,5200,7800,I-R02,C-R02,P-B02
INV03,14700,850,5300,8550,I-R03,C-R03,P-B03
INV04,15600,900,5400,9300,I-R04,C-R04,P-B04
INV05,16500,750,5500,10250,I-R05,C-B05,P-B05
INV06,17400,800,5600,11000,I-R06,C-B06,P-B06
INV07,18300,850,5700,11750,I-R07,C-B07,P-B07
INV08,19200,900,5800,12500,I-R08,C-B08,P-B08
INV09,20100,0,5900,14200,I-R09,C-V09,P-B09
INV10,21000,0,6000,15000,I-R10,C-B10,P-B10
INV11,22900,0,6100,16800,I-B11,,P-B11
INV12,23800,0,6200,17600,I-B12,,P-B12
INV13,24700,0,6300,18400,I-B13,,P-B13
INV14,25600,0,6400,19200,I-B14,,P-B14
INV15,26500,0,6500,20000,I-B15,,P-B15
INV16,27400,0,0,27400,I-B16,,P-R16
INV17,28300,0,0,28300,I-B17,,P-R17
INV18,29200,0,0,29200,I-B18,,P-R18
INV19,30100,0,0,30100,I-B19,,P-Z19
INV20,31000,0,0,31000,I-B20,,P-Z20
INV21,31900,0,0,31900,I-B21,,
INV22,32800,0,0,32800,I-B22,,
INV23,33700,0,0,33700,I-B23,,
INV24,34600,0,0,34600,I-B24,,
INV25,35500,0,0,35500,I-B25,,
INV26,36400,0,0,36400,I-B26,,
INV27,37300,0,0,37300,I-B27,,
INV28,38200,0,0,38200,I-B28,,
INV29,39100,0,0,39100,I-B29,,
INV30,40000,0,0,40000,I-B30,,
INV31,40900,0,0,40900,I-B31,,
INV32,41800,0,0,41800,I-B32,,
INV33,0,0,0,0,I-V33,,
INV34,0,0,0,0,I-V34,,
INV35,0,0,0,0,I-V35,,
INV36,0,0,0,0,I-V36,,
