row_id,invoice_id,revision,status,amount_krw,source_id
I-B01,INV01,1,posted,13900,AP-EXPORT-0923
I-B02,INV02,1,posted,14800,AP-EXPORT-0923
I-B03,INV03,1,posted,15700,AP-EXPORT-0923
I-B04,INV04,1,posted,16600,AP-EXPORT-0923
I-B05,INV05,1,posted,17500,AP-EXPORT-0923
I-B06,INV06,1,posted,18400,AP-EXPORT-0923
I-B07,INV07,1,posted,19300,AP-EXPORT-0923
I-B08,INV08,1,posted,20200,AP-EXPORT-0923
I-B09,INV09,1,posted,21100,AP-EXPORT-0923
I-B10,INV10,1,posted,22000,AP-EXPORT-0923
I-B11,INV11,1,posted,22900,AP-EXPORT-0923
I-B12,INV12,1,posted,23800,AP-EXPORT-0923
I-B13,INV13,1,posted,24700,AP-EXPORT-0923
I-B14,INV14,1,posted,25600,AP-EXPORT-0923
I-B15,INV15,1,posted,26500,AP-EXPORT-0923
I-B16,INV16,1,posted,27400,AP-EXPORT-0923
I-B17,INV17,1,posted,28300,AP-EXPORT-0923
I-B18,INV18,1,posted,29200,AP-EXPORT-0923
I-B19,INV19,1,posted,30100,AP-EXPORT-0923
I-B20,INV20,1,posted,31000,AP-EXPORT-0923
I-B21,INV21,1,posted,31900,AP-EXPORT-0923
I-B22,INV22,1,posted,32800,AP-EXPORT-0923
I-B23,INV23,1,posted,33700,AP-EXPORT-0923
I-B24,INV24,1,posted,34600,AP-EXPORT-0923
I-B25,INV25,1,posted,35500,AP-EXPORT-0923
I-B26,INV26,1,posted,36400,AP-EXPORT-0923
I-B27,INV27,1,posted,37300,AP-EXPORT-0923
I-B28,INV28,1,posted,38200,AP-EXPORT-0923
I-B29,INV29,1,posted,39100,AP-EXPORT-0923
I-B30,INV30,1,posted,40000,AP-EXPORT-0923
I-B31,INV31,1,posted,40900,AP-EXPORT-0923
I-B32,INV32,1,posted,41800,AP-EXPORT-0923
I-B33,INV33,1,posted,42700,AP-EXPORT-0923
I-B34,INV34,1,posted,43600,AP-EXPORT-0923
I-B35,INV35,1,posted,44500,AP-EXPORT-0923
I-B36,INV36,1,posted,45400,AP-EXPORT-0923
I-R01,INV01,2,posted,12900,AP-CORRECTION-0926
I-R02,INV02,2,posted,13800,AP-CORRECTION-0926
I-R03,INV03,2,posted,14700,AP-CORRECTION-0926
I-R04,INV04,2,posted,15600,AP-CORRECTION-0926
I-R05,INV05,2,posted,16500,AP-CORRECTION-0926
I-R06,INV06,2,posted,17400,AP-CORRECTION-0926
I-R07,INV07,2,posted,18300,AP-CORRECTION-0926
I-R08,INV08,2,posted,19200,AP-CORRECTION-0926
I-R09,INV09,2,posted,20100,AP-CORRECTION-0926
I-R10,INV10,2,posted,21000,AP-CORRECTION-0926
I-D11,INV11,1,posted,22900,AP-EXPORT-0923-REPEAT
I-D12,INV12,1,posted,23800,AP-EXPORT-0923-REPEAT
I-D13,INV13,1,posted,24700,AP-EXPORT-0923-REPEAT
I-D14,INV14,1,posted,25600,AP-EXPORT-0923-REPEAT
I-D15,INV15,1,posted,26500,AP-EXPORT-0923-REPEAT
I-D16,INV16,1,posted,27400,AP-EXPORT-0923-REPEAT
I-V33,INV33,2,void,0,AP-CORRECTION-0926
I-V34,INV34,2,void,0,AP-CORRECTION-0926
I-V35,INV35,2,void,0,AP-CORRECTION-0926
I-V36,INV36,2,void,0,AP-CORRECTION-0926
I-P01,INV01,3,draft,999999,AP-PREVIEW-0927
