row_id,credit_id,invoice_id,revision,status,amount_krw,source_id
C-B01,CR01,INV01,1,posted,550,CREDIT-0924
C-B02,CR02,INV02,1,posted,600,CREDIT-0924
C-B03,CR03,INV03,1,posted,650,CREDIT-0924
C-B04,CR04,INV04,1,posted,700,CREDIT-0924
C-B05,CR05,INV05,1,posted,750,CREDIT-0924
C-B06,CR06,INV06,1,posted,800,CREDIT-0924
C-B07,CR07,INV07,1,posted,850,CREDIT-0924
C-B08,CR08,INV08,1,posted,900,CREDIT-0924
C-B09,CR09,INV09,1,posted,950,CREDIT-0924
C-B10,CR10,INV10,1,posted,0,CREDIT-0924
C-R01,CR01,INV01,2,posted,750,CREDIT-CORRECTION-0926
C-R02,CR02,INV02,2,posted,800,CREDIT-CORRECTION-0926
C-R03,CR03,INV03,2,posted,850,CREDIT-CORRECTION-0926
C-R04,CR04,INV04,2,posted,900,CREDIT-CORRECTION-0926
C-D05,CR05,INV05,1,posted,750,CREDIT-0924-REPEAT
C-D06,CR06,INV06,1,posted,800,CREDIT-0924-REPEAT
C-V09,CR09,INV09,2,void,0,CREDIT-CORRECTION-0926
