row_id,kind,business_id,disposition,recognized_krw,source_id
I-B01,invoice,INV01,superseded,0,AP-EXPORT-0923
I-R01,invoice,INV01,active,12900,AP-CORRECTION-0926
I-P01,invoice,INV01,draft,0,AP-PREVIEW-0927
I-B02,invoice,INV02,superseded,0,AP-EXPORT-0923
I-R02,invoice,INV02,active,13800,AP-CORRECTION-0926
I-B03,invoice,INV03,superseded,0,AP-EXPORT-0923
I-R03,invoice,INV03,active,14700,AP-CORRECTION-0926
I-B04,invoice,INV04,superseded,0,AP-EXPORT-0923
I-R04,invoice,INV04,active,15600,AP-CORRECTION-0926
I-B05,invoice,INV05,superseded,0,AP-EXPORT-0923
I-R05,invoice,INV05,active,16500,AP-CORRECTION-0926
I-B06,invoice,INV06,superseded,0,AP-EXPORT-0923
I-R06,invoice,INV06,active,17400,AP-CORRECTION-0926
I-B07,invoice,INV07,superseded,0,AP-EXPORT-0923
I-R07,invoice,INV07,active,18300,AP-CORRECTION-0926
I-B08,invoice,INV08,superseded,0,AP-EXPORT-0923
I-R08,invoice,INV08,active,19200,AP-CORRECTION-0926
I-B09,invoice,INV09,superseded,0,AP-EXPORT-0923
I-R09,invoice,INV09,active,20100,AP-CORRECTION-0926
I-B10,invoice,INV10,superseded,0,AP-EXPORT-0923
I-R10,invoice,INV10,active,21000,AP-CORRECTION-0926
I-B11,invoice,INV11,active,22900,AP-EXPORT-0923
I-D11,invoice,INV11,duplicate,0,AP-EXPORT-0923-REPEAT
I-B12,invoice,INV12,active,23800,AP-EXPORT-0923
I-D12,invoice,INV12,duplicate,0,AP-EXPORT-0923-REPEAT
I-B13,invoice,INV13,active,24700,AP-EXPORT-0923
I-D13,invoice,INV13,duplicate,0,AP-EXPORT-0923-REPEAT
I-B14,invoice,INV14,active,25600,AP-EXPORT-0923
I-D14,invoice,INV14,duplicate,0,AP-EXPORT-0923-REPEAT
I-B15,invoice,INV15,active,26500,AP-EXPORT-0923
I-D15,invoice,INV15,duplicate,0,AP-EXPORT-0923-REPEAT
I-B16,invoice,INV16,active,27400,AP-EXPORT-0923
I-D16,invoice,INV16,duplicate,0,AP-EXPORT-0923-REPEAT
I-B17,invoice,INV17,active,28300,AP-EXPORT-0923
I-B18,invoice,INV18,active,29200,AP-EXPORT-0923
I-B19,invoice,INV19,active,30100,AP-EXPORT-0923
I-B20,invoice,INV20,active,31000,AP-EXPORT-0923
I-B21,invoice,INV21,active,31900,AP-EXPORT-0923
I-B22,invoice,INV22,active,32800,AP-EXPORT-0923
I-B23,invoice,INV23,active,33700,AP-EXPORT-0923
I-B24,invoice,INV24,active,34600,AP-EXPORT-0923
I-B25,invoice,INV25,active,35500,AP-EXPORT-0923
I-B26,invoice,INV26,active,36400,AP-EXPORT-0923
I-B27,invoice,INV27,active,37300,AP-EXPORT-0923
I-B28,invoice,INV28,active,38200,AP-EXPORT-0923
I-B29,invoice,INV29,active,39100,AP-EXPORT-0923
I-B30,invoice,INV30,active,40000,AP-EXPORT-0923
I-B31,invoice,INV31,active,40900,AP-EXPORT-0923
I-B32,invoice,INV32,active,41800,AP-EXPORT-0923
I-B33,invoice,INV33,superseded,0,AP-EXPORT-0923
I-V33,invoice,INV33,void,0,AP-CORRECTION-0926
I-B34,invoice,INV34,superseded,0,AP-EXPORT-0923
I-V34,invoice,INV34,void,0,AP-CORRECTION-0926
I-B35,invoice,INV35,superseded,0,AP-EXPORT-0923
I-V35,invoice,INV35,void,0,AP-CORRECTION-0926
I-B36,invoice,INV36,superseded,0,AP-EXPORT-0923
I-V36,invoice,INV36,void,0,AP-CORRECTION-0926
C-B01,credit,CR01,superseded,0,CREDIT-0924
C-R01,credit,CR01,active,750,CREDIT-CORRECTION-0926
C-B02,credit,CR02,superseded,0,CREDIT-0924
C-R02,credit,CR02,active,800,CREDIT-CORRECTION-0926
C-B03,credit,CR03,superseded,0,CREDIT-0924
C-R03,credit,CR03,active,850,CREDIT-CORRECTION-0926
C-B04,credit,CR04,superseded,0,CREDIT-0924
C-R04,credit,CR04,active,900,CREDIT-CORRECTION-0926
C-B05,credit,CR05,active,750,CREDIT-0924
C-D05,credit,CR05,duplicate,0,CREDIT-0924-REPEAT
C-B06,credit,CR06,active,800,CREDIT-0924
C-D06,credit,CR06,duplicate,0,CREDIT-0924-REPEAT
C-B07,credit,CR07,active,850,CREDIT-0924
C-B08,credit,CR08,active,900,CREDIT-0924
C-B09,credit,CR09,superseded,0,CREDIT-0924
C-V09,credit,CR09,void,0,CREDIT-CORRECTION-0926
C-B10,credit,CR10,active,0,CREDIT-0924
P-B01,payment,PAY01,active,5100,BANK-0925
P-D01,payment,PAY01,duplicate,0,BANK-0925-REPEAT
P-B02,payment,PAY02,active,5200,BANK-0925
P-D02,payment,PAY02,duplicate,0,BANK-0925-REPEAT
P-B03,payment,PAY03,active,5300,BANK-0925
P-D03,payment,PAY03,duplicate,0,BANK-0925-REPEAT
P-B04,payment,PAY04,active,5400,BANK-0925
P-D04,payment,PAY04,duplicate,0,BANK-0925-REPEAT
P-B05,payment,PAY05,active,5500,BANK-0925
P-B06,payment,PAY06,active,5600,BANK-0925
P-B07,payment,PAY07,active,5700,BANK-0925
P-B08,payment,PAY08,active,5800,BANK-0925
P-B09,payment,PAY09,active,5900,BANK-0925
P-B10,payment,PAY10,active,6000,BANK-0925
P-B11,payment,PAY11,active,6100,BANK-0925
P-B12,payment,PAY12,active,6200,BANK-0925
P-B13,payment,PAY13,active,6300,BANK-0925
